name,kcal_per_100gr,fat_per_100gr,fiber_per_100gr,protein_per_100gr,carbs_per_100gr,user_id,rating,notes,tags,is_verified,image_url
"Chicken,Stewing,Lt Meat,Meat Only,Raw",130.29,4.21,0,23.1,0,,,,,TRUE,
"Chicken,Stewing,Meat & Skn,& Giblets & Neck,Ckd,Stwd",206.83,11.91,0,24.88,0.03,,,,,TRUE,
"Chicken,Stewing,Meat Only,Ckd,Stwd",228.69,11.89,0,30.42,0,,,,,TRUE,
"Chicken,Stewing,Meat Only,Raw",141.92,6.32,0,21.26,0,,,,,TRUE,
"Chicken,Stewing,Meat&Skn,&Giblets&Neck,Raw",246.36,19.52,0,17.48,0.19,,,,,TRUE,
"Chicken,Stewing,Meat&Skn,Ckd,Stwd",277.35,18.87,0,26.88,0,,,,,TRUE,
"Chicken,Stewing,Meat&Skn,Raw",253.17,20.33,0,17.55,0,,,,,TRUE,
Chilchen,43.63,0.63,0,0.81,8.68,,,,,TRUE,
Chili,119.89,5.49,4.4,5.71,11.91,,,,,TRUE,
"Chili Con Carne W/Bns,Cnd",121.42,5.26,3.9,7.09,11.43,,,,,TRUE,
"Chili,No Bns,Cnd",118.42,7.1,0,7.53,6.1,,,,,TRUE,
"Chorizo,Pork",448.27,38.27,0,24.1,1.86,,,,,TRUE,
"Cinnamon Swirl French Toast W/Sausage,Frz Brkfst",265.7,14.9,1.5,8.4,24.5,,,,,TRUE,
Coconut H2O,19.52,0.2,1.1,0.72,3.71,,,,,TRUE,
"Coffee Sub,Crl Grain Bev,Pdr",360.4,2.52,23.3,6.01,78.42,,,,,TRUE,
"Coffee Sub,Crl Grain Bev,Pdr,Prep W/ Whl Milk",65.3,3.3,0.1,3.3,5.6,,,,,TRUE,
"Coffee Sub,Crl Grain Bev,Prep W/ H2O",5.96,0.04,0.4,0.1,1.3,,,,,TRUE,
"Coffee Sub,Rstd Grain Bev,Nat Touch Kaffree Roma,Pdr",357.9,0.3,0,4.5,84.3,,,,,TRUE,
"Coffeecake,Cheese",342,15.2,1,7,44.3,,,,,TRUE,
"Coffeecake,Cinn W/Crumb Topping,Commly Prep,Enr",423.7,23.3,2,6.8,46.7,,,,,TRUE,
"Coffeecake,Cinn W/Crumb Topping,Commly Prep,Unenr",423.7,23.3,2,6.8,46.7,,,,,TRUE,
"Coffeecake,Cinn W/Crumb Topping,Dry Mix",438,12,1.8,4.8,77.7,,,,,TRUE,
"Coffeecake,Cinn W/Crumb Topping,Dry Mix,Prep",319.6,9.6,1.2,5.5,52.8,,,,,TRUE,
"Coffeecake,Creme-Filled W/Choc Frstng",332.4,10.8,2,5,53.8,,,,,TRUE,
"Coffeecake,Fruit",318.6,10.2,2.5,5.2,51.5,,,,,TRUE,
"Company,Campbell'S Red & White,Curly Noodle Soup,Cond",61.91,1.59,0.8,3.17,8.73,,,,,TRUE,
"Company,Campbell'S Red & White,Oyster Stew,Cond",65.08,4.76,0,1.59,3.97,,,,,TRUE,
"Cookies,Animal Crackers",448.2,13.8,1.1,6.9,74.1,,,,,TRUE,
"Cookies,Brownies,Commly Prep",421.5,16.3,2.1,4.8,63.9,,,,,TRUE,
"Cookies,Brownies,Dry Mix,Reg",456.5,14.9,0,4,76.6,,,,,TRUE,
"Cookies,Brownies,Dry Mix,Spl Dietary",445.7,12.5,4.2,2.9,80.4,,,,,TRUE,
"Cookies,Brownies,Dry Mix,Spl Dietary,Prep",400.3,11.1,3.7,3.8,71.3,,,,,TRUE,
"Cookies,Brownies,Prep From Recipe",487.5,29.1,0,6.2,50.2,,,,,TRUE,
"Cookies,Butter,Commly Prep,Enr",469.2,18.8,0.8,6.1,68.9,,,,,TRUE,
"Cookies,Butter,Commly Prep,Unenr",469.2,18.8,0.8,6.1,68.9,,,,,TRUE,
"Cookies,Choc Chip,Commly Prep,Reg,Higher Fat,Enr",485.71,23.31,2.4,5.12,63.86,,,,,TRUE,
"Cookies,Choc Chip,Commly Prep,Reg,Higher Fat,Unenr",492.2,22.6,2.5,5.4,66.8,,,,,TRUE,
"Cookies,Choc Chip,Commly Prep,Reg,Lower Fat",455,15.4,3.6,5.8,73.3,,,,,TRUE,
"Cookies,Choc Chip,Commly Prep,Soft-Type",465.38,20.62,2.4,4.9,65.05,,,,,TRUE,
"Cookies,Choc Chip,Commly Prep,Spl Dietary",460.4,16.8,1.6,3.9,73.4,,,,,TRUE,
"Cookies,Choc Chip,Dry Mix",509.6,25.2,0,4.6,66.1,,,,,TRUE,
"Cookies,Choc Chip,Prep From Recipe,Made W/Butter",511.2,28.4,0,5.7,58.2,,,,,TRUE,
"Cookies,Choc Chip,Prep From Recipe,Made W/Margarine",511.1,28.3,2.8,5.7,58.4,,,,,TRUE,
"Cookies,Choc Chip,Refr Dough",446.8,20.4,1.5,4.4,61.4,,,,,TRUE,
"Cookies,Choc Chip,Refr Dough,Bkd",495.8,22.6,1.7,4.9,68.2,,,,,TRUE,
"Cookies,Choc Sndwch,W/Creme Filling,Reg",483.14,19.78,2.8,5.61,70.67,,,,,TRUE,
"Cookies,Choc Sndwch,W/Creme Filling,Reg,Chocolate-Coated",516.4,26.4,5.2,3.6,66.1,,,,,TRUE,
"Cookies,Choc Sndwch,W/Creme Filling,Spl Dietary",487.7,22.1,4.1,4.5,67.7,,,,,TRUE,
"Cookies,Choc Sndwch,W/Ex Creme Filling",510.8,24.52,2.7,4.33,68.2,,,,,TRUE,
"Cookies,Chocolate Wafers",443.8,14.2,3.4,6.6,72.4,,,,,TRUE,
"Cookies,Cocnt Macaroons,Prep From Recipe",417.5,12.7,1.8,3.6,72.2,,,,,TRUE,
"Cookies,Fig Bars",364.1,7.3,4.6,3.7,70.9,,,,,TRUE,
"Cookies,Fortune",377.1,2.7,1.6,4.2,84,,,,,TRUE,
"Cookies,Fudge,Cake-Type",366.5,3.7,2.8,5,78.3,,,,,TRUE,
"Cookies,Gingersnaps",418.2,9.8,2.2,5.6,76.9,,,,,TRUE,
"Cookies,Graham Crackers,Chocolate-Coated",498,23.2,3.1,5.8,66.5,,,,,TRUE,
"Cookies,Graham Crackers,Pln Or Honey",425.7,10.1,2.8,6.9,76.8,,,,,TRUE,
"Cookies,Ladyfingers,W/Lemon Juc&Rind",363.1,9.1,1,10.6,59.7,,,,,TRUE,
"Cookies,Ladyfingers,Wo/Lemon Juc&Rind",363.1,9.1,1,10.6,59.7,,,,,TRUE,
"Cookies,Marshmllw,Chocolate-Coated",438.9,16.9,2,4,67.7,,,,,TRUE,
"Cookies,Molasses",432.8,12.8,1,5.6,73.8,,,,,TRUE,
"Cookies,Oatmeal,Commly Prep,Fat-Free",351.5,1.5,7.3,5.9,78.6,,,,,TRUE,
"Cookies,Oatmeal,Commly Prep,Reg",462.5,18.1,2.8,6.2,68.7,,,,,TRUE,
"Cookies,Oatmeal,Commly Prep,Soft-Type",419.5,14.7,2.7,6.1,65.7,,,,,TRUE,
"Cookies,Oatmeal,Commly Prep,Spl Dietary",460.8,18,2.9,4.8,69.9,,,,,TRUE,
"Cookies,Oatmeal,Dry Mix",468,19.2,0,6.5,67.3,,,,,TRUE,
"Cookies,Oatmeal,Prep From Recipe,W/Raisins",445.4,16.2,0,6.5,68.4,,,,,TRUE,
"Cookies,Oatmeal,Prep From Recipe,Wo/Raisins",453.9,17.9,0,6.8,66.4,,,,,TRUE,
"Cookies,Oatmeal,Refr Dough",428.1,18.9,2.5,5.4,59.1,,,,,TRUE,
"Cookies,Oatmeal,Refr Dough,Bkd",475.8,21,2.8,6,65.7,,,,,TRUE,
"Cookies,Pnut Butter Sndwch,Reg",487.5,21.1,1.9,8.8,65.6,,,,,TRUE,
"Cookies,Pnut Butter Sndwch,Spl Dietary",549.2,34,0,10,50.8,,,,,TRUE,
"Cookies,Pnut Butter,Commly Prep,Reg",486.4,23.6,1.8,9.6,58.9,,,,,TRUE,
"Cookies,Pnut Butter,Commly Prep,Soft-Type",471.6,24.4,1.7,5.3,57.7,,,,,TRUE,
"Cookies,Pnut Butter,Prep From Recipe",485.8,23.8,0,9,58.9,,,,,TRUE,
"Cookies,Pnut Butter,Refr Dough",466.2,25,1.1,8.2,52.1,,,,,TRUE,
"Cookies,Pnut Butter,Refr Dough,Bkd",513.1,27.5,1.2,9.1,57.3,,,,,TRUE,
"Cookies,Raisin,Soft-Type",410.8,13.6,1.2,4.1,68,,,,,TRUE,
"Cookies,Shortbread,Commly Prep,Pecan",545.3,32.5,1.8,4.9,58.3,,,,,TRUE,
"Cookies,Shortbread,Commly Prep,Pln",499.3,24.1,1.8,6.1,64.5,,,,,TRUE,
"Cookies,Sugar Wafers W/Creme Filling,Reg",515.5,24.3,0.6,4.1,70.1,,,,,TRUE,
"Cookies,Sugar Wafers W/Creme Filling,Spl Dietary",507.7,25.7,0,3.1,66,,,,,TRUE,
"Cookies,Sugar,Commly Prep,Reg",481.9,21.1,0.8,5.1,67.9,,,,,TRUE,
"Cookies,Sugar,Commly Prep,Spl Dietary",440.6,13,0.9,4.1,76.8,,,,,TRUE,
"Cookies,Sugar,Prep From Recipe,Made W/Margarine",474.2,23.4,1.2,5.9,60,,,,,TRUE,
"Cookies,Sugar,Refr Dough",439.1,20.7,0.7,4.2,59,,,,,TRUE,
"Cookies,Sugar,Refr Dough,Bkd",489.1,23.1,0.8,4.7,65.6,,,,,TRUE,
"Cookies,Vanilla Sndwch W/Creme Filling",486.4,20,1.5,4.5,72.1,,,,,TRUE,
"Cookies,Vanilla Wafers,Higher Fat",476.2,19.4,2,4.3,71.1,,,,,TRUE,
"Cookies,Vanilla Wafers,Lower Fat",451.2,15.2,1.9,5,73.6,,,,,TRUE,
"Corn Cakes,Very Lo Na",387.6,2.4,0,8.1,83.4,,,,,TRUE,
Corned Bf & Potatoes In Tortilla,223.83,8.31,1.5,7.91,29.35,,,,,TRUE,
"Cornsalad,Raw",26,0.4,0,2,3.6,,,,,TRUE,
"Crab,Blue,Crab Cakes",150.44,7.52,0,20.21,0.48,,,,,TRUE,
"Crackers, Cheese, Sandwich-Type",490.41,24.41,1.9,8.92,58.76,,,,,TRUE,
"Crackers,Chs,Sandwich-Type W/Pnut Butter Filling",502.68,25.12,3.4,12.41,56.74,,,,,TRUE,
"Crackers,Melba Toast,Pln",383.6,3.2,6.3,12.1,76.6,,,,,TRUE,
"Crackers,Melba Toast,Pln,Wo/Salt",383.6,3.2,6.3,12.1,76.6,,,,,TRUE,
"Crackers,Melba Toast,Rye",386.2,3.4,8,11.6,77.3,,,,,TRUE,
"Crackers,Melba Toast,Wheat",377.9,2.3,7.4,12.9,76.4,,,,,TRUE,
"Crackers,Rusk Toast",408,7.2,0,13.5,72.3,,,,,TRUE,
"Crackers,Rye,Sandwich-Type W/Chs Filling",480.7,22.3,3.6,9.2,60.8,,,,,TRUE,
"Crackers,Saltines",415.01,8.85,2.9,9.5,74.34,,,,,TRUE,
"Crackers,Saltines,Lo Salt",415.01,8.85,2.9,9.5,74.34,,,,,TRUE,
"Crackers,Saltines,Unsalted Tops",429,11.8,3,9.2,71.5,,,,,TRUE,
"Cream Sub,Flav,Liq",264.54,13.5,1.1,0.69,35.07,,,,,TRUE,
"Cream Sub,Flav,Powdered",494.91,21.47,1.2,0,75.42,,,,,TRUE,
"Cream Sub,Liq,Lt",71.1,3.5,0,0.8,9.1,,,,,TRUE,
"Cream Sub,Liq,W/Hydr Veg Oil&Soy Prot",139.25,9.97,0,1,11.38,,,,,TRUE,
"Cream Sub,Liq,W/Lauric Acid Oil&Na Caseinate",139.25,9.97,0,1,11.38,,,,,TRUE,
"Cream Sub,Pdr,Lt",442.5,15.7,0,1.9,73.4,,,,,TRUE,
"Cream Substitute,Powdered",558,35.48,0,4.79,54.88,,,,,TRUE,
"Cream,Fluid,Half",132.54,11.5,0,2.96,4.3,,,,,TRUE,
Curry Powder,407.53,13.81,33.2,12.66,58.15,,,,,TRUE,
"Domino'S 14"" Cheese Pizza, Classic Hand-Tossed Crust",257.23,8.39,1.4,10.98,34.45,,,,,TRUE,
"Domino'S 14"" Cheese Pizza, Crunchy Thin Crust",315.26,16.82,2.1,12.96,28.01,,,,,TRUE,
"Domino'S 14"" Cheese Pizza, Ultimate Deep Dish Crust",274.22,10.34,2.3,11.36,33.93,,,,,TRUE,
"Domino'S 14"" Extravaganzza Feast Pizza",244.1,11.1,2,10.33,25.72,,,,,TRUE,
"Domino'S 14"" Pepperoni Pizza, Classic Hand-Tossed Crust",270.42,10.54,1.5,11.6,32.29,,,,,TRUE,
"Domino'S 14"" Pepperoni Pizza, Ultimate Deep Dish Crust",288.16,12.28,2.1,12.11,32.3,,,,,TRUE,
"Doughnuts, Cake-Type, Plain",417.95,23.55,1.6,5.87,45.63,,,,,TRUE,
"Doughnuts, Cake-Type, Plain, Chocolate-Coated Or Frosted",452.29,25.25,1.9,4.93,51.33,,,,,TRUE,
"Doughnuts, Yeast-Leavened, Glazed, Enriched",399.3,19.1,2.1,6.21,50.64,,,,,TRUE,
"Doughnuts,Cake-Type,Choc,Sugared Or Glazed",426.7,19.9,2.2,4.5,57.4,,,,,TRUE,
"Doughnuts,Cake-Type,Pln,Sugared Or Glazed",430.1,22.9,1.5,5.2,50.8,,,,,TRUE,
"Doughnuts,Cake-Type,Wheat,Sugared Or Glazed",369.3,19.3,2.2,6.3,42.6,,,,,TRUE,
"Doughnuts,French Crullers,Glazed",415.1,18.3,1.2,3.1,59.5,,,,,TRUE,
"Doughnuts,Yeast-Leavened,Glazed,Unenr",408,22.8,1.2,6.4,44.3,,,,,TRUE,
"Doughnuts,Yeast-Leavened,W/Creme Filling",366.1,24.5,0.8,6.4,30,,,,,TRUE,
"Doughnuts,Yeast-Leavened,W/Jelly Filling",347.9,18.7,0.9,5.9,39,,,,,TRUE,
"Egg Rolls,Chick,Refr,Htd",196.51,4.51,2.4,10.44,28.54,,,,,TRUE,
"Egg Rolls,Pork,Refr,Htd",222.29,7.17,2.1,9.94,29.5,,,,,TRUE,
"Egg Rolls,Veg,Refr,Htd",196.47,4.67,2.8,6.62,31.99,,,,,TRUE,
"Egg Substitute,Frozen",157.95,11.11,0,11.29,3.2,,,,,TRUE,
"Egg Substitute,Liquid",80.35,3.31,0,12,0.64,,,,,TRUE,
"Egg Substitute,Powder",426.2,13,0,55.5,21.8,,,,,TRUE,
"Egg, Cheese",290.81,17.73,0.6,10.77,22.04,,,,,TRUE,
"Egg,Whole,Cooked,Omelet",153.35,12.03,0,10.59,0.68,,,,,TRUE,
"Entrees,Crab Cake",264.33,17.25,0.4,18.75,8.52,,,,,TRUE,
"Entrees,Fish Fillet,Battered Or Breaded,&Fried",237.13,12.29,0.5,14.66,16.97,,,,,TRUE,
"Falafel,Home-Prepared",340.8,17.8,0,13.31,31.84,,,,,TRUE,
"Fast Fd,Pizza Chain,14"" Pizza,Chs Topping,Thick Crust",272.23,10.99,1.5,12,31.33,,,,,TRUE,
"Fast Fd,Pizza Chain,14"" Pizza,Chs Topping,Thin Crust",303.96,15.68,2,14.17,26.54,,,,,TRUE,
"Fast Fd,Pizza Chain,14"" Pizza,Meat & Veg Topping,Reg Crust",243.7,10.9,2.2,11.02,25.38,,,,,TRUE,
"Fast Fd,Pizza Chain,14"" Pizza,Pepperoni Topping,Reg Crust",276.23,11.23,1.5,12.33,31.46,,,,,TRUE,
"Fast Fd,Pizza Chain,14"" Pizza,Pepperoni Topping,Thick Crust",283.73,12.49,1.8,12.43,30.4,,,,,TRUE,
"Fast Fds,Chseburger; ,Lrg Patty; W/ Condmnt,Veg & Mayo",253.15,15.63,1.3,15.5,12.62,,,,,TRUE,
"Fast Fds,Chseburger;Single,Lrg Patty; W/ Condmnt,Veg & Mayo",235.06,13.46,1.2,13.03,15.45,,,,,TRUE,
Fast Foods Biscuit W/ Egg,274.03,16.23,0.6,8.53,23.46,,,,,TRUE,
"Fast Foods,Brownie",429.64,16.84,0,4.57,64.95,,,,,TRUE,
"Fast Foods,Burrito,W/Bf",239.9,9.46,0,12.09,26.6,,,,,TRUE,
"Fast Foods,Burrito,W/Bf&Chili Peppers",215.27,8.23,0,10.7,24.6,,,,,TRUE,
"Fast Foods,Burrito,W/Bf,Chs,&Chili Peppers",211.03,8.15,0,13.46,20.96,,,,,TRUE,
"Fast Foods,Burrito,W/Bns",213.58,6.22,0,6.48,32.92,,,,,TRUE,
"Fast Foods,Burrito,W/Bns&Chili Peppers",210.71,7.19,0,8.03,28.47,,,,,TRUE,
"Fast Foods,Burrito,W/Bns&Chs",207.21,6.29,0,8.1,29.55,,,,,TRUE,
"Fast Foods,Burrito,W/Bns&Meat",222.63,7.71,0,9.73,28.58,,,,,TRUE,
"Fast Foods,Burrito,W/Bns,Chs,&Bf",165.87,6.55,0,7.18,19.55,,,,,TRUE,
"Fast Foods,Burrito,W/Bns,Chs,&Chili Peppers",202.6,6.84,0,9.91,25.35,,,,,TRUE,
"Fast Foods,Burrito,W/Fruit",318.43,12.87,0,3.38,47.27,,,,,TRUE,
"Fast Foods,Cheeseburger; ,Lrg Patty,W/ Condmnt & Veg",272.64,16.92,0,14.72,15.37,,,,,TRUE,
"Fast Foods,Cheeseburger; ,Lrg Patty; W/ Condmnt",271.54,16.22,1,16.96,14.43,,,,,TRUE,
"Fast Foods,Cheeseburger; ,Reg Patty,W/ Condmnt & Veg",250.3,12.7,0,12.8,21.2,,,,,TRUE,
"Fast Foods,Cheeseburger; ,Reg Patty; Pln",308.44,17.4,0.7,17.16,20.8,,,,,TRUE,
"Fast Foods,Cheeseburger; ,Reg Patty; W/ Condmnt",273.61,14.97,0.8,14.89,19.83,,,,,TRUE,
"Fast Foods,Cheeseburger; Single,Lrg Patty; Pln",305.5,17.02,1.4,17.28,20.8,,,,,TRUE,
"Fast Foods,Cheeseburger; Single,Lrg Patty; W/ Condmnt",269.32,14.4,1.2,15.21,19.72,,,,,TRUE,
"Fast Foods,Cheeseburger; Single,Lrg Patty; W/ Condmnt & Veg",206.84,10.36,1.4,11.59,16.81,,,,,TRUE,
"Fast Foods,Cheeseburger; Single,Reg Patty,W/ Condmnt",271.9,12.9,1.9,13.49,25.46,,,,,TRUE,
"Fast Foods,Cheeseburger; Single,Reg Patty,W/ Condmnt & Veg",235.05,12.85,0,11.58,18.27,,,,,TRUE,
"Fast Foods,Cheeseburger; Single,Reg Patty; Pln",305.45,13.93,1,15.13,29.89,,,,,TRUE,
"Fast Foods,Cheseburger; Single,Lrg Patty; W/ Condmnt & Bacon",281.42,15.86,1.3,15.78,18.89,,,,,TRUE,
"Fast Foods,Chick,Breaded & Fried,Bnless Pieces,Pln",297.02,18.82,0.9,15.59,16.32,,,,,TRUE,
"Fast Foods,Chsburger; Single,Lrg Patty; W/ Condmnt,Veg & Ham",284.97,18.97,0,15.55,13.01,,,,,TRUE,
"Fast Foods,Chseburger; Dble,Reg,Patty & Bn; W/ Condmnt & Veg",284.59,15.47,0,13.04,23.3,,,,,TRUE,
"Fast Foods,Cookies,Animal Crackers",446.91,13.43,0,6.18,75.33,,,,,TRUE,
"Fast Foods,Cookies,Choc Chip",483.16,22.08,0,5.25,65.86,,,,,TRUE,
"Fast Foods,Enchilada,W/Chs",197.72,11.56,0,5.91,17.51,,,,,TRUE,
"Fast Foods,Enchilada,W/Chs&Bf",171.03,9.19,0,6.21,15.87,,,,,TRUE,
"Fast Foods,French Toast Stks",348.5,17.74,1.4,6,41.21,,,,,TRUE,
"Fast Foods,French Toast W/ Butter",262.54,13.9,0,7.66,26.7,,,,,TRUE,
"Fast Foods,Hamburger,Lrg, Patty,W/Condmnt",265.45,16.01,0,19.3,11.04,,,,,TRUE,
"Fast Foods,Hamburger,Lrg,Single Patty,W/Condmnt",255.68,11.6,1.1,15.68,22.14,,,,,TRUE,
"Fast Foods,Hamburger; ,Lrg Patty; W/ Condmnt & Veg",237.71,11.75,0,15.17,17.82,,,,,TRUE,
"Fast Foods,Hamburger; ,Lrg Paty; W/ Condmnt,Veg & Mayo",251.66,15.66,1.4,13.94,13.74,,,,,TRUE,
"Fast Foods,Hamburger; ,Reg Patty; W/ Condmnt",267.18,15.1,0,14.8,18.02,,,,,TRUE,
"Fast Foods,Hamburger; ,Reg,Patty; Pln",293.96,14.36,0.9,17.08,24.1,,,,,TRUE,
"Fast Foods,Hamburger; Single,Lrg Patty; Pln",309.25,16.73,0,16.51,23.16,,,,,TRUE,
"Fast Foods,Hamburger; Single,Lrg Patty; W/ Condmnt",255.68,11.6,1.1,15.68,22.14,,,,,TRUE,
"Fast Foods,Hamburger; Single,Lrg Patty; W/ Condmnt & Veg",233.75,12.55,0,11.85,18.35,,,,,TRUE,
"Fast Foods,Hamburger; Single,Reg Patty; Pln",294.96,11.24,1.2,14.74,33.71,,,,,TRUE,
"Fast Foods,Hamburger; Single,Reg Patty; W/ Condmnt",258.07,10.07,1.8,13.07,28.79,,,,,TRUE,
"Fast Foods,Hamburger; Single,Reg Patty; W/ Condmnt & Veg",256.45,12.25,0,11.74,24.81,,,,,TRUE,
"Fast Foods,Hush Puppies",337.7,14.86,0,6.25,44.74,,,,,TRUE,
"Fast Foods,Miniature Cinn Rolls",403.15,17.95,2.2,7.02,53.38,,,,,TRUE,
"Fast Foods,Pancakes W/Butter&Syrup",225.23,6.03,0,3.56,39.18,,,,,TRUE,
"Fast Foods,Salad,Veg Tossed,Wo/Drsng,W/Turkey,Ham&Chs",82.09,4.93,0,7.98,1.45,,,,,TRUE,
"Fast Foods,Salad,Veg,Tossed,Wo/Drsng",18.51,0.07,0,1.25,3.22,,,,,TRUE,
"Fast Foods,Salad,Veg,Tossed,Wo/Drsng,W/Chick",47.84,1,0,8,1.71,,,,,TRUE,
"Fast Foods,Salad,Veg,Tossed,Wo/Drsng,W/Chs&Egg",48.95,2.67,0,4.04,2.19,,,,,TRUE,
"Fast Foods,Salad,Veg,Tossed,Wo/Drsng,W/Pasta&Seafood",91.44,5,0,3.94,7.67,,,,,TRUE,
"Fast Foods,Salad,Veg,Tossed,Wo/Drsng,W/Shrimp",45.25,1.05,0,6.15,2.8,,,,,TRUE,
"Fast Foods,Submarine Sndwch,W/Cold Cuts",201.41,8.17,0,9.58,22.39,,,,,TRUE,
"Fast Foods,Submarine Sndwch,W/Rst Bf",189.08,6,0,13.26,20.51,,,,,TRUE,
"Fast Foods,Submarine Sndwch,W/Tuna Salad",231.29,10.93,0,11.6,21.63,,,,,TRUE,
"Fast Foods,Taco",219.02,12.02,0,12.08,15.63,,,,,TRUE,
"Fast Foods,Taco Salad",141.5,7.46,0,6.68,11.91,,,,,TRUE,
"Fast Foods,Taco Salad W/Chili Con Carne",112.67,5.03,0,6.67,10.18,,,,,TRUE,
"Figs,Dried,Stewed",119.56,0.4,4.2,1.42,27.57,,,,,TRUE,
Frankfurter Bf & Pork,301.76,27.64,0,11.53,1.72,,,,,TRUE,
"French Toast,Frz,Rth",212.9,6.1,1.1,7.4,32.1,,,,,TRUE,
"French Toast,Prep From Recipe,Made W/Lofat Milk",228,10.8,0,7.7,25,,,,,TRUE,
"Fruit Leather,Pieces",359.4,2.68,0,1,82.82,,,,,TRUE,
"Fruit Leather,Rolls",370.6,3,0,0.1,85.8,,,,,TRUE,
"Fruit Salad,Cnd,Ex Hvy Syrup,Sol&Liquids",92.94,0.06,1,0.33,22.77,,,,,TRUE,
"Fruit Salad,Cnd,H2O Pk,Sol&Liquids",33.51,0.07,1,0.35,7.87,,,,,TRUE,
"Fruit Salad,Cnd,Hvy Syrup,Sol&Liquids",78.43,0.07,1,0.34,19.11,,,,,TRUE,
"Fruit Salad,Cnd,Juc Pk,Sol&Liquids",54.51,0.03,1,0.51,13.05,,,,,TRUE,
"Fruit Salad,Cnd,Lt Syrup,Sol&Liquids",62.55,0.07,1,0.34,15.14,,,,,TRUE,
"Fruit Salad,Tropical,Cnd,Hvy Syrup,Sol&Liquids",91.98,0.1,1.3,0.41,22.36,,,,,TRUE,
"General Mills,Betty Crocker Supermoist Yel Cake Mix,Dry",413.3,8.1,0,3.8,81.3,,,,,TRUE,
"Granola Bar,Soft,Milk Choc Coatd,Pnut Butter",535.6,31.2,3.8,9.6,54.1,,,,,TRUE,
"Granola Bar,W/Cocnt,Choc Coatd",531.4,32.2,6.2,5.2,55.2,,,,,TRUE,
"Granola Bars,Hard,Almond",508.3,25.5,4.8,7.7,62,,,,,TRUE,
"Granola Bars,Hard,Choc Chip",464.3,16.3,4.4,7.3,72.1,,,,,TRUE,
"Granola Bars,Hard,Peanut",491.4,21.4,4.3,11,63.7,,,,,TRUE,
"Granola Bars,Hard,Plain",476.2,19.8,5.3,10.1,64.4,,,,,TRUE,
"Granola Bars,Hard,Pnut Butter",502.6,23.8,2.9,9.8,62.3,,,,,TRUE,
"Granola Bars,Oats,Fruits&Nut",397.18,6.3,5.3,7.7,77.42,,,,,TRUE,
"Granola Bars,Soft,Coatd,Milk Choc Coating,Choc Chip",502.5,24.9,3.4,5.8,63.8,,,,,TRUE,
"Granola Bars,Soft,Coatd,Milk Choc Coating,Pnut Butter",534.3,31.1,2.8,10.2,53.4,,,,,TRUE,
"Granola Bars,Soft,Uncoated,Choc Chip",452.53,16.57,3.8,5.65,70.2,,,,,TRUE,
"Granola Bars,Soft,Uncoated,Choc Chip,Graham&Marshmllw",447.1,15.5,4,6.1,70.8,,,,,TRUE,
"Granola Bars,Soft,Uncoated,Nut&Raisin",470,20.4,5.6,8,63.6,,,,,TRUE,
"Granola Bars,Soft,Uncoated,Pln",453.6,17.2,4.6,7.4,67.3,,,,,TRUE,
"Granola Bars,Soft,Uncoated,Pnut Butter",441.8,15.8,4.3,10.5,64.4,,,,,TRUE,
"Granola Bars,Soft,Uncoated,Pnut Butter&Choc Chip",468,20,4.2,9.8,62.2,,,,,TRUE,
"Granola Bars,Soft,Uncoated,Raisin",456.2,17.8,4.2,7.6,66.4,,,,,TRUE,
"Green Giant,Harvest Burger,Orig Flav,All Veg Prot Patty,Frz",152.6,4.6,6.3,20,7.8,,,,,TRUE,
Ham,240.61,18.53,0,16.18,2.28,,,,,TRUE,
Ham Salad Spread,217.09,15.53,0,8.68,10.65,,,,,TRUE,
Ham&Chs Loaf Or Roll,238.7,18.7,0,13.6,4,,,,,TRUE,
"Healthy Choic Bf Macaroni,Frz",87.69,0.93,1.9,5.89,13.94,,,,,TRUE,
Honey Loaf Pork Bf,124.63,4.47,0.8,11.12,9.98,,,,,TRUE,
"Honey Roll Sausage,Beef",177.54,10.5,0,18.58,2.18,,,,,TRUE,
Hormel Canadian Style Bacon,119.46,4.94,0,16.88,1.87,,,,,TRUE,
"Hormel Chili W/Bns,Cnd",97.29,1.77,3.4,6.71,13.63,,,,,TRUE,
"Hormel Chili,No Bns,Cnd",84.18,2.78,1.3,7.2,7.59,,,,,TRUE,
"Hormel Corned Bf Hash,Cnd",164.16,10.24,1.1,8.73,9.27,,,,,TRUE,
Hormel Pillow Pak Sliced Turkey Pepperoni,242.76,11.52,0,30.99,3.78,,,,,TRUE,
"Hormel Rst Bf Hash,Cnd",165.14,10.02,1.5,9.03,9.71,,,,,TRUE,
Hormel Spam Luncheon Meat Pork W/ Ham Minced Cnd,310.24,27.24,0,13.24,3.03,,,,,TRUE,
"Hormel Turkey Chili W/Bns,Cnd",81.8,1.12,2.6,7.58,10.35,,,,,TRUE,
"Hormel Vegetarian Chili W/Bns,Cnd",83.4,0.28,4,4.83,15.39,,,,,TRUE,
Hormel Wrangler Beef Franks,289.97,25.69,0,12.58,2.11,,,,,TRUE,
"Hormel,Dinty Moore Bf Stew,Cnd",96.17,5.53,1.1,4.79,6.81,,,,,TRUE,
"Hush Puppies,Prep From Recipe",336.3,13.5,2.8,7.7,46,,,,,TRUE,
"Ice Crm Cones,Cake Or Wafer-Type",410.5,6.9,3,8.1,79,,,,,TRUE,
