name,kcal_per_100gr,fat_per_100gr,fiber_per_100gr,protein_per_100gr,carbs_per_100gr,user_id,notes,tags,is_verified,image_url
"Child Formula, Mead Johnson",483.2,22,0,16.5,54.8,,,,TRUE,
Chili Powder,418.52,16.76,34.2,12.26,54.66,,,,TRUE,
"Chiton, Leathery",82.8,1.6,0,17.1,0,,,,TRUE,
Chives,37.05,0.73,2.5,3.27,4.35,,,,TRUE,
"Chives, Freeze-Dried",373.46,3.5,26.2,21.2,64.29,,,,TRUE,
"Choc-Flv Bev Mix For Milk, Pdr",88.29,3.17,0,3.33,11.61,,,,TRUE,
Chocolate Syrup,278.97,1.13,2.6,2.1,65.1,,,,TRUE,
"Chocolate Syrup, Prep W/ Whl Milk",90.04,2.96,0.3,3.07,12.78,,,,TRUE,
"Chocolate-Flavor Bev Mix For Milk, Pdr",404.7,3.1,4.8,3.3,90.9,,,,TRUE,
"Chocolate-Flavor Bev Mix, Pdr",89.72,3.24,0.4,3.23,11.91,,,,TRUE,
"Chocolate-Flavored Drk, Whey&Milk Bsd",48.88,0.4,0.6,0.64,10.68,,,,TRUE,
Chocolate-Flavored Hazelnut Sprd,537.85,29.73,5.4,5.41,62.16,,,,TRUE,
"Chokecherries, Pitted",155.9,0.98,17,2.89,33.88,,,,TRUE,
Chrysanthemum Leaves,30.52,0.56,3,3.36,3.01,,,,TRUE,
"Chrysanthemum, Garland",30.56,0.56,3,3.36,3.02,,,,TRUE,
"Cinnamon, Ground",349.48,1.24,53.1,3.99,80.59,,,,TRUE,
Cisco,93.15,1.91,0,18.99,0,,,,TRUE,
"Citrus Fruit Juc Drk, Frz Conc",166.5,0.1,0.2,1.2,40.2,,,,TRUE,
"Clam&Tomato Juc, Cnd",48,0.2,0.4,0.6,10.95,,,,TRUE,
"Clam, Mixed Species",70.09,0.97,0,12.77,2.57,,,,TRUE,
"Clam, Mxd Sp",2.18,0.02,0,0.4,0.1,,,,TRUE,
Clementines,52.83,0.15,1.7,0.85,12.02,,,,TRUE,
Cloudberries,51.2,0.8,0,2.4,8.6,,,,TRUE,
"Cloves, Ground",449.39,20.07,34.2,5.98,61.21,,,,TRUE,
"Cls, Qkr",119.14,2.22,1.7,2.28,22.51,,,,TRUE,
Cnd,104.76,0.4,5.5,4.8,20.49,,,,TRUE,
Cockles,79.1,0.7,0,13.5,4.7,,,,TRUE,
"Cocktail Mix, Non-Alcoholic",286.81,0.01,0,0.08,71.6,,,,TRUE,
"Cocoa Mix, Nestle",447,15,4,3,75,,,,TRUE,
"Cocoa Mix, Pdr",397.6,4,3.7,6.67,83.73,,,,TRUE,
"Cocoa Mix, W/ Asprt",29.35,0.23,0.6,1.21,5.61,,,,TRUE,
"Cocoa Mix, W/ Aspt",359.4,3,1.1,25.1,58,,,,TRUE,
"Cocoa, Dry Pdr",433.3,13.7,33.2,19.6,57.9,,,,TRUE,
Coconut Crm,353.24,34.68,2.2,3.63,6.65,,,,TRUE,
Coconut Meat,375.65,33.49,9,3.33,15.23,,,,TRUE,
"Coconut Meat, Dried",471.83,27.99,9.9,3.13,51.85,,,,TRUE,
Coconut Milk,245.88,23.84,2.2,2.29,5.54,,,,TRUE,
"Coconut Milk, Cnd",211.29,21.33,0,2.02,2.81,,,,TRUE,
"Coconut Milk, Frz",215.96,20.8,0,1.61,5.58,,,,TRUE,
"Cod, Atlantic",77.27,0.67,0,17.81,0,,,,TRUE,
"Cod, Pacific",77.27,0.63,0,17.9,0,,,,TRUE,
"Coffee&Cocoa  Pdr, W/Whtnr&Lo Cal Swtnr",440.49,13.21,4.8,9,71.4,,,,TRUE,
"Coffee, Brewed",0,0.18,0,0.1,0,,,,TRUE,
"Coffee, Brewed From Grounds",0,0,0,0.1,0,,,,TRUE,
"Coffee, Dry",509.5,29.1,0.5,1.96,59.94,,,,TRUE,
"Coffee, Inst",217.7,0.5,0,12.2,41.1,,,,TRUE,
"Coleslaw, Home-Prepared",78.29,2.61,1.5,1.29,12.41,,,,TRUE,
Collards,36.34,0.42,3.6,2.45,5.69,,,,TRUE,
"Collards, Ckd",31.32,0.36,2.8,2.11,4.91,,,,TRUE,
"Collards, Frz",39.93,0.37,3.6,2.69,6.46,,,,TRUE,
"Conch, Baked Or Broiled",122.8,1.2,0,26.3,1.7,,,,TRUE,
"Continen Mill, Krusteaz Almd Poppyseed Muff Mix",417.5,10.3,1.7,5.6,75.6,,,,TRUE,
Coriander  Leaves,27.88,0.52,2.8,2.13,3.67,,,,TRUE,
"Coriander Leaf, Dried",339.14,4.78,10.4,21.93,52.1,,,,TRUE,
Coriander Seed,429.37,17.77,41.9,12.37,54.99,,,,TRUE,
Corn Beverage,39.8,0.2,0.4,0.8,8.7,,,,TRUE,
"Corn Bran, Crude",384.28,0.92,79,8.36,85.64,,,,TRUE,
"Corn Flr, Degermed",365.87,1.39,1.9,5.59,82.75,,,,TRUE,
"Corn Flr, Masa",376.46,3.78,9.6,9.34,76.27,,,,TRUE,
"Corn Flr, Whole-Grain",369.86,3.86,7.3,6.93,76.85,,,,TRUE,
"Corn Pudd, Home Prep",131.12,5.08,1.4,4.35,17,,,,TRUE,
"Corn W/Red&Grn Peppers, Cnd",86.95,0.55,0,2.33,18.17,,,,TRUE,
"Corn, Dried",386.22,5.22,0,9.88,74.93,,,,TRUE,
"Corn, Sweet",99.58,1.18,2.7,3.22,19.02,,,,TRUE,
"Corn, Swt",125.24,1.28,2.8,3.32,25.11,,,,TRUE,
"Corn, White",377.38,4.74,0,9.42,74.26,,,,TRUE,
"Corn, Yel",130.74,1.42,2.6,3.62,25.87,,,,TRUE,
"Corn, Yellow",377.38,4.74,7.3,9.42,74.26,,,,TRUE,
"Corn-Based, Extruded",531.85,28.41,5.3,6.03,63.01,,,,TRUE,
"Corned Beef Loaf, Jellied",146.5,6.1,0,22.9,0,,,,TRUE,
"Cornmeal, Blue",398.28,5.44,8.7,10.4,76.93,,,,TRUE,
"Cornmeal, Degermed",361.71,1.79,4,7.25,79.15,,,,TRUE,
"Cornmeal, Self-Rising",344.84,3.4,6.7,8.28,70.28,,,,TRUE,
"Cornmeal, White",397.88,5.04,10.4,10.99,77.14,,,,TRUE,
"Cornmeal, Whole-Grain",372.35,3.59,7.3,8.12,76.89,,,,TRUE,
"Cornmeal, Yel",383.92,5.88,9.4,9.85,72.9,,,,TRUE,
"Cornnuts, Barbecue-Flavor",451.5,14.3,8.4,9,71.7,,,,TRUE,
"Cornnuts, Nacho-Flavor",451.8,14.2,8,9.4,71.6,,,,TRUE,
"Cornnuts, Plain",462.2,15.64,6.9,8.5,71.86,,,,TRUE,
Cornstarch,366.57,0.05,0.9,0.26,91.27,,,,TRUE,
"Cottonseed Flr, Lofat",356.41,1.41,0,49.83,36.1,,,,TRUE,
"Cottonseed Flr, Part Defatted",381.8,6.2,3,40.96,40.54,,,,TRUE,
"Cottonseed Krnls, Rstd",544.57,36.29,5.5,32.59,21.9,,,,TRUE,
"Cottonseed Meal, Part Defatted",393.05,4.77,0,49.1,38.43,,,,TRUE,
Couscous,109.48,0.16,1.4,3.79,23.22,,,,TRUE,
"Couscous, Dry",366.52,0.64,5,12.76,77.43,,,,TRUE,
"Cowpeas, Catjang",352.59,2.07,10.7,23.85,59.64,,,,TRUE,
"Cowpeas, Common",345.54,1.26,10.6,23.52,60.03,,,,TRUE,
"Cowpeas, Immat Seeds",90.27,0.35,5,2.95,18.83,,,,TRUE,
"Cowpeas, Immtre Seeds",134.94,0.66,6.4,8.49,23.76,,,,TRUE,
"Cowpeas, Leafy Tips",37.93,0.25,0,4.1,4.82,,,,TRUE,
"Cowpeas, Young Pods W/Seeds",53.9,0.3,0,3.3,9.5,,,,TRUE,
"Crab, Alaska King",78.56,0.6,0,18.29,0,,,,TRUE,
"Crab, Blue",82.12,1.08,0,18.06,0.04,,,,TRUE,
"Crab, Dungeness",81.33,0.97,0,17.41,0.74,,,,TRUE,
"Crab, Queen",84.62,1.18,0,18.5,0,,,,TRUE,
Crabapples,84.1,0.3,0,0.4,19.95,,,,TRUE,
Cracker Meal,376.1,1.7,2.6,9.3,80.9,,,,TRUE,
"Crackers, Cheese",500.9,25.3,2.4,10.1,58.2,,,,TRUE,
"Crackers, Chs",500.9,25.3,2.4,10.1,58.2,,,,TRUE,
"Crackers, Crispbread",372.1,1.3,16.5,7.9,82.2,,,,TRUE,
"Crackers, Matzo",387.4,1.4,3,10,83.7,,,,TRUE,
"Crackers, Milk",451.4,15.8,1.9,7.6,69.7,,,,TRUE,
"Crackers, Rye",368.1,0.9,22.9,9.6,80.4,,,,TRUE,
"Crackers, Saltines",385.6,1.6,2.7,10.5,82.3,,,,TRUE,
"Crackers, Std Snack-Type",504.35,25.83,2.1,6.6,61.37,,,,TRUE,
"Crackers, Wheat",479.4,20.6,4.5,8.6,64.9,,,,TRUE,
"Crackers, Whole-Wheat",464.4,17.2,10.5,8.8,68.6,,,,TRUE,
Cranberries,51.53,0.13,4.6,0.39,12.2,,,,TRUE,
"Cranberries, Dried",342.05,1.37,5.7,0.07,82.36,,,,TRUE,
"Cranberries, Wild",55.4,0.2,6.7,1.1,12.3,,,,TRUE,
"Cranberry Juc Cocktail, Btld",54.98,0.1,0,0,13.52,,,,TRUE,
"Cranberry Juc Cocktail, Frz Conc",206,0,0.2,0.05,51.45,,,,TRUE,
"Cranberry Juc, Unswtnd",51.53,0.13,0.1,0.39,12.2,,,,TRUE,
"Cranberry Sau, Cnd",157.75,0.15,1,0.2,38.9,,,,TRUE,
"Cranberry, Lo Bush Or Lingenberry",54.9,0.5,0,0.4,12.2,,,,TRUE,
"Cranberry-Apple Juc Drk, Btld",64.39,0.11,0,0,15.85,,,,TRUE,
"Cranberry-Apple Juc Drk, Lo Cal",19.2,0,0.1,0.1,4.7,,,,TRUE,
"Cranberry-Apricot Juc Drk, Btld",65.6,0,0.1,0.2,16.2,,,,TRUE,
"Cranberry-Grape Juc Drk, Btld",57.7,0.1,0.1,0.2,14,,,,TRUE,
"Cranberry-Orange Relish, Cnd",186.9,0.1,0,0.3,46.2,,,,TRUE,
"Crayfish, Mxd Sp",72.43,0.95,0,15.97,0,,,,TRUE,
"Cream Puffs, Prep From Recipe",257.9,15.5,0.4,6.7,22.9,,,,TRUE,
"Cream, Fluid",298.71,30.91,0,2.17,2.96,,,,TRUE,
"Cream, Half & Half",59,1.4,0,2.6,9,,,,TRUE,
"Cream, Sour",197.37,19.73,0,2.07,2.88,,,,TRUE,
"Cream, Whipped",262.74,22.22,0,3.2,12.49,,,,TRUE,
"Creamy Drsng, Made W/Sour Crm And/Or Bttrmlk&Oil",160,14,0,1.5,7,,,,TRUE,
"Creamy Drsng, W/Sour Crm And/Or Bttrmlk&Oil",140,8,0,1,16,,,,TRUE,
"Cress, Garden",38.7,0.7,1.1,2.6,5.5,,,,TRUE,
"Crisped Rice Bar, Choc Chip",433.9,13.5,2.2,5.1,73,,,,TRUE,
"Crls, Quakr Inst Otml",103.68,1.28,1.7,3.22,19.82,,,,TRUE,
"Crmy Drsg, Mde W/ Sour Crm And/Or Btrmlk & Oil",109.9,2.7,0,1.4,20,,,,TRUE,
"Croaker, Atlantic",99.65,3.17,0,17.78,0,,,,TRUE,
"Croissants, Apple",256.3,8.7,2.5,7.4,37.1,,,,TRUE,
"Croissants, Butter",405,21,2.6,8.2,45.8,,,,TRUE,
"Croissants, Cheese",412.9,20.9,2.6,9.2,47,,,,TRUE,
"Croutons, Plain",401,6.6,5.1,11.9,73.5,,,,TRUE,
"Croutons, Seasoned",461.9,18.3,5,10.8,63.5,,,,TRUE,
"Cucumber, Peeled",12.44,0.16,0.7,0.59,2.16,,,,TRUE,
"Cucumber, With Peel",18.11,0.11,0.5,0.65,3.63,,,,TRUE,
Cumin Seed,448.63,22.27,10.5,17.81,44.24,,,,TRUE,
"Currants, European Black",70.81,0.41,0,1.4,15.38,,,,TRUE,
"Currants, Red&White",62.6,0.2,4.3,1.4,13.8,,,,TRUE,
"Currants, Zante",315.07,0.27,6.8,4.08,74.08,,,,TRUE,
Cusk,82.17,0.69,0,18.99,0,,,,TRUE,
"Cusk, Dry Heat",105.32,0.88,0,24.35,0,,,,TRUE,
Custard-Apple,113,0.6,2.4,1.7,25.2,,,,TRUE,
"Cuttlefish, Mxd Sp",74.54,0.7,0,16.24,0.82,,,,TRUE,
"Dairy Drk Mix, Choc",329,2.6,9.4,25,51.4,,,,TRUE,
Dandelion Greens,53.9,0.7,3.5,2.7,9.2,,,,TRUE,
"Dandelion Grns, Ckd",39,0.6,2.9,2,6.4,,,,TRUE,
"Danish Pastry, Cheese",377.9,21.9,1,8,37.2,,,,TRUE,
"Danish Pastry, Cinn",408,22.4,1.3,7,44.6,,,,TRUE,
"Danish Pastry, Fruit",379.3,18.5,1.9,5.4,47.8,,,,TRUE,
"Danish Pastry, Lemon",379.3,18.5,1.9,5.4,47.8,,,,TRUE,
"Danish Pastry, Nut",438,25.2,2,7.1,45.7,,,,TRUE,
"Danish Pastry, Raspberry",379.3,18.5,1.9,5.4,47.8,,,,TRUE,
"Dates, Deglet Noor",313.43,0.39,8,2.45,75.03,,,,TRUE,
"Dates, Medjool",308.47,0.15,6.7,1.81,74.97,,,,TRUE,
"Deer, Sitka",109.94,2.66,0,21.5,0,,,,TRUE,
"Dessert Topping, Pdr",192.21,12.41,0,3.6,16.53,,,,TRUE,
"Dessert Topping, Powdered",589.04,39.92,0,4.9,52.54,,,,TRUE,
"Dessert Topping, Pressurized",268.9,22.3,0,0.98,16.07,,,,TRUE,
"Dessert Topping, Semi Solid",324.99,25.31,0,1.25,23.05,,,,TRUE,
"Desserts, Appl Crisp",161.23,3.43,1.4,1.75,30.84,,,,TRUE,
"Desserts, Egg Custard",104.18,4.58,0,5.02,10.72,,,,TRUE,
"Desserts, Flan",145.15,4.03,0,4.53,22.69,,,,TRUE,
"Desserts, Mousse",224.84,16,0.6,4.14,16.07,,,,TRUE,
"Desserts, Pudd",386.5,2.1,4.5,2.6,89.3,,,,TRUE,
"Desserts, Rennin",84.1,0.1,0,1,19.8,,,,TRUE,
Dill Seed,415.46,14.54,21.1,15.98,55.17,,,,TRUE,
"Dill Weed, Dried",342.36,4.36,13.6,19.96,55.82,,,,TRUE,
"Dill Weed, Frsh",52,1.12,2.1,3.46,7.02,,,,TRUE,
Dock,27.1,0.7,2.9,2,3.2,,,,TRUE,
"Dock, Ckd",24.8,0.64,2.6,1.83,2.93,,,,TRUE,
Dolphinfish,80.3,0.7,0,18.5,0,,,,TRUE,
"Dolphinfish, Ckd",102.98,0.9,0,23.72,0,,,,TRUE,
"Doo Dads Snack Mix, Original Flavor",464.9,18.5,6.8,10.3,64.3,,,,TRUE,
"Dove, Ckd",212.6,13,0,23.9,0,,,,TRUE,
"Drink Mix, Quaker Oats",381.2,0,0,0,95.3,,,,TRUE,
"Drum, Freshwater",114.53,4.93,0,17.54,0,,,,TRUE,
"Duck, Domesticated",400.02,39.34,0,11.49,0,,,,TRUE,
"Duck, Scoter",84.4,0.4,0,20.2,0,,,,TRUE,
"Duck, Wild",206.48,15.2,0,17.42,0,,,,TRUE,
"Duck, Yng Duckl",132.9,2.5,0,27.6,0,,,,TRUE,
"Duck, Yng Duckling",195.65,10.85,0,24.5,0,,,,TRUE,
"Durian, Raw Or Frozen",162.21,5.33,3.8,1.47,27.09,,,,TRUE,
"Dutch Brand Loaf, Chick",269.91,22.91,0.3,12,3.93,,,,TRUE,
"Eclairs, Custard-Filled W/Choc Glaze",263.7,15.7,0.6,6.4,24.2,,,,TRUE,
"Edamame, Frz",117.89,4.73,4.8,10.25,8.58,,,,TRUE,
"Eel, Mixed Species",178.7,11.66,0,18.44,0,,,,TRUE,
"Eel, Mxd Sp",229.15,14.95,0,23.65,0,,,,TRUE,
"Egg Custards, Dry Mix",416.4,6.4,0,6.9,82.8,,,,TRUE,
"Egg Mix, Usda Cmdty",548.78,34.5,0,35.6,23.97,,,,TRUE,
"Egg, Duck",180.97,13.77,0,12.81,1.45,,,,TRUE,
"Egg, Goose",180.31,13.27,0,13.87,1.35,,,,TRUE,
"Egg, Quail",153.65,11.09,0,13.05,0.41,,,,TRUE,
"Egg, Turkey",166.24,11.88,0,13.68,1.15,,,,TRUE,
"Egg, White",48.05,0.17,0,10.9,0.73,,,,TRUE,
"Egg, Whl",150.29,10.61,0,12.58,1.12,,,,TRUE,
"Egg, Whole",142.86,9.94,0,12.58,0.77,,,,TRUE,
"Egg, Yolk",316.66,26.54,0,15.86,3.59,,,,TRUE,
Eggnog,136.72,7.48,0,3.81,13.54,,,,TRUE,
"Eggnog-Flavor Mix, Pdr",95.7,3.02,0,2.93,14.2,,,,TRUE,
Eggplant,28.55,0.19,3.4,1.01,5.7,,,,TRUE,
"Eggplant, Ckd",40.31,0.23,2.5,0.83,8.73,,,,TRUE,
"Eggs, Scrmbld",132.8,5.6,0,13.1,7.5,,,,TRUE,
Elderberries,80.74,0.5,7,0.66,18.4,,,,TRUE,
"Elk, Free Range",96.76,1.8,0,20.14,0,,,,TRUE,
"Emu, Fan Fillet",97.2,0.8,0,22.5,0,,,,TRUE,
"Emu, Flat Fillet",95.66,0.74,0,22.25,0,,,,TRUE,
"Emu, Full Rump",106.08,1.64,0,22.83,0,,,,TRUE,
"Emu, Ground",127.35,4.03,0,22.77,0,,,,TRUE,
"Emu, Inside Drum",102.29,1.49,0,22.22,0,,,,TRUE,
"Emu, Inside Drums",147.61,2.01,0,32.38,0,,,,TRUE,
"Emu, Outside Drum",96.64,0.48,0,23.08,0,,,,TRUE,
"Emu, Oyster",134.98,4.86,0,22.81,0,,,,TRUE,
"Emu, Top Loin",144.45,3.13,0,29.07,0,,,,TRUE,
Endive,20.2,0.2,3.1,1.25,3.35,,,,TRUE,
"Eng Drk, Red Bull",4.52,0.08,0,0.25,0.7,,,,TRUE,
"English Muffin, Pln",227.37,1.69,3.5,8.87,44.17,,,,TRUE,
"English Muffins, Mixed-Grain",237.8,1.8,2.8,9.1,46.3,,,,TRUE,
"English Muffins, Pln",231,1.8,2.7,7.7,46,,,,TRUE,
"English Muffins, Raisin-Cinnamon",240.24,1.8,2.6,7.91,48.1,,,,TRUE,
"English Muffins, Wheat",232,2,4.6,8.7,44.8,,,,TRUE,
"English Muffins, Whole-Wheat",215.7,2.1,6.7,8.8,40.4,,,,TRUE,
"English, Muffin",270.06,2.02,2.8,10.32,52.65,,,,TRUE,
"Engy Drk, Red Bull",45.48,0.08,0,0.25,10.94,,,,TRUE,
"Ensure Fiber W/ Fos, Liq",100.58,2.38,1.1,3.43,16.36,,,,TRUE,
"Ensure Plus, Liq Nutr",140.84,4.52,0,5.16,19.88,,,,TRUE,
Epazote,35.76,0.52,3.8,0.33,7.44,,,,TRUE,
Eppaw,161.32,1.8,0,4.6,31.68,,,,TRUE,
"Fast Foods, Bagel",252.72,9.68,0.2,13.97,27.43,,,,TRUE,
"Fast Foods, Biscuit",308.13,20.73,0.5,11.33,19.06,,,,TRUE,
"Fast Foods, Biscuit W/ Egg & Steak",278.85,19.21,0,12.12,14.37,,,,TRUE,
"Fast Foods, Chick",286.08,18.04,0,20.32,10.61,,,,TRUE,
"Fast Foods, Chick Fillet Sndwch",283.66,16.18,0,13.25,21.26,,,,TRUE,
"Fast Foods, Chick Tenders",289.63,16.59,1.9,17.29,17.79,,,,TRUE,
"Fast Foods, Chili Con Carne",103.03,3.27,0,9.73,8.67,,,,TRUE,
"Fast Foods, Chimichanga",245.27,11.31,0,11.27,24.6,,,,TRUE,
"Fast Foods, Chsburgr; Dbl",260.78,14.1,1.4,11.94,21.53,,,,TRUE,
"Fast Foods, Clams",386.24,22.96,0,11.15,33.75,,,,TRUE,
"Fast Foods, Coleslaw",157.12,11.08,0,1.47,12.88,,,,TRUE,
"Fast Foods, Corn On The Cob W/Butter",120.91,2.35,0,3.06,21.88,,,,TRUE,
"Fast Foods, Crispy Chick Filet Sndwch",244.82,11.7,1.4,12.42,22.46,,,,TRUE,
"Fast Foods, Croissant",291.89,19.45,0,10.07,19.14,,,,TRUE,
"Fast Foods, Danish Pastry",395.3,27.06,0,6.41,31.53,,,,TRUE,
"Fast Foods, Egg",209.3,16.18,0,13.84,2.08,,,,TRUE,
"Fast Foods, Egg&Chs Sndwch",233.5,13.3,0,10.69,17.76,,,,TRUE,
"Fast Foods, Enchirito",182.09,8.33,0,9.27,17.51,,,,TRUE,
"Fast Foods, Eng Muffin",305.94,9.14,0,7.73,48.19,,,,TRUE,
"Fast Foods, Fish Sndwch",276.41,14.41,0,10.72,25.96,,,,TRUE,
"Fast Foods, Frijoles W/Chs",137.94,4.66,0,6.81,17.19,,,,TRUE,
"Fast Foods, Ham",243,11.4,0,13.46,21.64,,,,TRUE,
"Fast Foods, Ham&Chs Sndwch",243.44,10.6,0,14.17,22.84,,,,TRUE,
"Fast Foods, Hmburgr; Sng",259.14,13.3,1.4,12.17,22.69,,,,TRUE,
"Fast Foods, Hotdog",249.56,14.84,0,10.6,18.4,,,,TRUE,
"Fast Foods, Ice Milk",162.22,5.94,0.1,3.78,23.41,,,,TRUE,
"Fast Foods, Nachos",311.73,16.77,0,8.05,32.15,,,,TRUE,
"Fast Foods, Onion Rings",337.01,18.69,0,4.46,37.74,,,,TRUE,
"Fast Foods, Oysters",266.94,12.9,0,9.02,28.69,,,,TRUE,
"Fast Foods, Potato",84.61,1.21,0,2.31,16.12,,,,TRUE,
"Fast Foods, Potatoes",334.09,21.65,2.7,2.61,32.2,,,,TRUE,
"Fast Foods, Rst Bf Sndwch",247.22,9.9,0,15.47,24.06,,,,TRUE,
"Fast Foods, Scallops",271.91,13.47,0,10.94,26.73,,,,TRUE,
"Fast Foods, Shrimp",280.22,15.18,0,11.51,24.39,,,,TRUE,
"Fast Foods, Sundae",179.25,5.13,0,4.09,29.18,,,,TRUE,
"Fast Foods, Tostada",162.01,6.85,0,6.67,18.42,,,,TRUE,
"Fat, Beef Tallow",900,100,0,0,0,,,,TRUE,
"Fat, Chicken",898.2,99.8,0,0,0,,,,TRUE,
"Fat, Duck",898.2,99.8,0,0,0,,,,TRUE,
"Fat, Goose",898.2,99.8,0,0,0,,,,TRUE,
"Fat, Mutton Tallow",900,100,0,0,0,,,,TRUE,
"Fat, Turkey",898.2,99.8,0,0,0,,,,TRUE,
Feijoa,54.5,0.78,0,1.24,10.63,,,,TRUE,
Fennel Seed,406.19,14.87,39.8,15.8,52.29,,,,TRUE,
"Fennel, Bulb",35.92,0.2,3.1,1.24,7.29,,,,TRUE,
Fenugreek Seed,383.09,6.41,24.6,23,58.35,,,,TRUE,
Fiddlehead Ferns,43.96,0.4,0,4.55,5.54,,,,TRUE,
"Fiddlehead Ferns, Frz",43.35,0.35,0,4.31,5.74,,,,TRUE,
Figs,82.42,0.3,2.9,0.75,19.18,,,,TRUE,
"Figs, Cnd",58.46,0.1,2.2,0.4,13.99,,,,TRUE,
"Figs, Dried",277.05,0.93,9.8,3.3,63.87,,,,TRUE,
"Fireweed, Leaves",120.47,2.75,10.6,4.71,19.22,,,,TRUE,
"Fireweed, Young Leaves",44.4,0.8,6,3,6.3,,,,TRUE,
Fish Broth,15,0.6,0,2,0.4,,,,TRUE,
"Fish Oil, Cod Liver",900,100,0,0,0,,,,TRUE,
"Fish Oil, Herring",900,100,0,0,0,,,,TRUE,
"Fish Oil, Menhaden",900,100,0,0,0,,,,TRUE,
"Fish Oil, Salmon",900,100,0,0,0,,,,TRUE,
"Fish Oil, Sardine",900,100,0,0,0,,,,TRUE,
"Fish Portions&Stks, Frz",248.13,13.25,1.4,11.04,21.18,,,,TRUE,
"Fish Sticks, Meatless",290,18,6.1,23,9,,,,TRUE,
"Fish, Blackfish",77.75,1.75,0,15.5,0,,,,TRUE,
"Fish, Devilfish",94.5,5.3,0,11.7,0,,,,TRUE,
"Fish, Halibut",108.4,2.92,0,20.53,0,,,,TRUE,
"Fish, Herring",489.4,34.6,0,44.5,0,,,,TRUE,
"Fish, Herring Eggs",312.2,6.6,0,60.4,2.8,,,,TRUE,
"Fish, Herring Eggs On Giant Kelp",62.8,0.8,0,11.3,2.6,,,,TRUE,
"Fish, Lingcod",78.8,0.8,0,17.9,0,,,,TRUE,
"Fish, Pike",155.6,8,0,16.6,4.3,,,,TRUE,
"Fish, Salmon",115.79,3.67,0,20.69,0,,,,TRUE,
"Fish, Sheefish",114.56,2.84,0,22.25,0,,,,TRUE,
"Fish, Tilapia",95.62,1.7,0,20.08,0,,,,TRUE,
"Fish, Whitefish",130.5,6.1,0,18.9,0,,,,TRUE,
"Flan, Caramel Custard",366.4,0,0,0,91.6,,,,TRUE,
Flatfish,86.07,1.19,0,18.84,0,,,,TRUE,
"Flatfish, Ckd",110.41,1.53,0,24.16,0,,,,TRUE,
Flaxseed Oil,900,100,0,0,0,,,,TRUE,
"Fluid Replcmnt, Electrolyte Soln",9.8,0,0,0,2.45,,,,TRUE,
"Form Bar, Masterfoods",385.95,10.79,6.7,21.91,50.3,,,,TRUE,
"Form Bar, Masterfoods Usa",413.06,13.18,2.8,18.49,55.12,,,,TRUE,
"Form, Masterfoods Usa",380.19,8.99,10.5,22.35,52.47,,,,TRUE,
"Formulated Bar, Power Bar",363.11,3.11,5.7,14.15,69.63,,,,TRUE,
"Formulated, Wheat-Based",669.3,57.7,5.2,13.82,23.68,,,,TRUE,
Frankfurter Bf,327.33,29.57,0,11.24,4.06,,,,TRUE,
Frankfurter Bf Htd,326.38,29.46,0,11.54,3.77,,,,TRUE,
Frankfurter Meat,289.56,25.76,0,10.26,4.17,,,,TRUE,
Frankfurter Meat Htd,277.47,24.31,0,9.77,4.9,,,,TRUE,
"Frankfurter, Bf",229.9,19.5,0,12,1.6,,,,TRUE,
"Frankfurter, Bf & Pork",151.6,10,0,11,4.4,,,,TRUE,
"Frankfurter, Chick",218.71,16.19,0.4,15.51,2.74,,,,TRUE,
"Frankfurter, Lo Na",311.79,28.51,0,12,1.8,,,,TRUE,
"Frankfurter, Meat & Poultry",120.8,2.8,0.1,15.5,8.4,,,,TRUE,
"Frankfurter, Meatless",232.81,13.73,3.9,19.61,7.7,,,,TRUE,
"Frankfurter, Pork",265.48,23.68,0.1,12.81,0.28,,,,TRUE,
"Frankfurter, Turkey",219.77,17.29,0,12.23,3.81,,,,TRUE,
"Freezer Queen Gravy&Sliced Bf Meal, Mshd Pot&Carrots",81.1,1.9,1.4,6,10,,,,TRUE,
Frijoles Rojos Volteados,144.25,6.93,4.7,5,15.47,,,,TRUE,
Frog Legs,68.3,0.3,0,16.4,0,,,,TRUE,
"Frosting, Glaz",358.93,7.17,1.1,1.42,72.18,,,,TRUE,
"Frostings, Choc",415.6,17.6,0.9,1.1,63.2,,,,TRUE,
"Frostings, Coconut-Nut",432.8,24,2.5,1.5,52.7,,,,TRUE,
"Frostings, Crm Cheese-Flavor",425.38,17.3,0,0.1,67.32,,,,TRUE,
"Frostings, Glaze",341.13,0.53,0,0.44,83.65,,,,TRUE,
"Frostings, Vanilla",417.63,16.23,0,0,67.89,,,,TRUE,
"Frostings, White",388.8,0,0,2.3,94.9,,,,TRUE,
"Froz Novelties, Ice Type",20.56,0,0,0,5.14,,,,TRUE,
"Froz Novlt, Ice Crm",226.46,10.1,0.8,6.4,27.49,,,,TRUE,
"Frozen Novelites, Juc Type",114.77,1.41,0.1,1.41,24.11,,,,TRUE,
"Frozen Novelt, Ice Crm",323,20.2,0.6,4.4,30.9,,,,TRUE,
Frozen Novelties,73.02,0.86,0.3,1.78,14.54,,,,TRUE,
"Frozen Novelties, Fat Free Fudgesicle Bars",135.9,0.66,1.7,5.55,26.94,,,,TRUE,
"Frozen Novelties, Fruit & Juc Bars",86.5,0.1,1,1.2,20.2,,,,TRUE,
